,Processing_Type,Performance_Metrics,Logistic,SVM,Naive_Bayes,LDA,QDA,Random_Forest,XGboost,Adaboost,Best_model
0,standard,Accuracy,0.7473118279569892,0.7597849462365592,0.5918279569892474,0.7733333333333333,0.7608602150537636,0.7402150537634409,0.7404301075268818,0.7473118279569892,LDA
1,standard,Precision,0.7399554693672341,0.7618487394957982,0.6554621848739496,0.7636111111111111,0.7730073847720906,0.7302468291941976,0.7136842105263158,0.7418650793650794,QDA
2,standard,Recall,0.765,0.7508333333333334,0.3441666666666667,0.7916666666666667,0.7975,0.7358333333333333,0.8291666666666666,0.7516666666666667,XGboost
3,standard,F1 score,0.749703643212771,0.753136107084939,0.3901693889897156,0.7769465528146743,0.7647772772772772,0.7284244626232457,0.7600995953937131,0.7438669448746005,LDA
4,stopwords_nltk,Accuracy,0.7535483870967742,0.7341935483870967,0.6819354838709677,0.7735483870967742,0.7415053763440861,0.7729032258064515,0.7735483870967742,0.7918279569892472,Adaboost
5,stopwords_nltk,Precision,0.7454545454545454,0.7462745098039216,0.7528427128427129,0.7516666666666666,0.716369578134284,0.7761232231820467,0.7613275269622019,0.7822875816993464,Adaboost
6,stopwords_nltk,Recall,0.7633333333333333,0.6991666666666667,0.5599999999999999,0.8033333333333333,0.835,0.7641666666666667,0.805,0.8025,QDA
7,stopwords_nltk,F1 score,0.7486978381096028,0.7194276094276095,0.6364279398762157,0.7729566378522736,0.7609044969339087,0.765001420148479,0.7787348418991422,0.7890909090909091,Adaboost
8,stopwords_spacy,Accuracy,0.7537634408602151,0.7668817204301075,0.7146236559139785,0.7733333333333333,0.7606451612903226,0.7858064516129032,0.7858064516129032,0.7993548387096774,Adaboost
9,stopwords_spacy,Precision,0.747603668261563,0.781951137098196,0.7803751803751803,0.7596491228070176,0.7238095238095238,0.778925518925519,0.7790346907993967,0.7872674109516214,Adaboost
10,stopwords_spacy,Recall,0.7641666666666667,0.7241666666666667,0.6116666666666667,0.8033333333333333,0.86,0.7891666666666666,0.79,0.8175000000000001,QDA
11,stopwords_spacy,F1 score,0.7510989706056119,0.7492488833006075,0.6797664659733625,0.7764260112647209,0.7770562770562771,0.7819646479281368,0.7801177036471154,0.796369143190775,Adaboost
