,Processing_Type,Performance_Metrics,Logistic,SVM,Naive_Bayes,LDA,QDA,Random_Forest,XGboost,Adaboost,Best_model
0,standard,Accuracy,0.7470967741935484,0.7083870967741935,0.5784946236559139,0.7341935483870967,0.7008602150537635,0.7991397849462365,0.76,0.7793548387096774,Random_Forest
1,standard,Precision,0.7394548588666237,0.7181576318418423,0.6452012383900929,0.7177777777777777,0.7284188034188034,0.7956259426847663,0.7467543859649123,0.7783319260718641,Random_Forest
2,standard,Recall,0.75,0.6716666666666666,0.3583333333333333,0.75,0.6758333333333333,0.8041666666666666,0.7766666666666666,0.7775,Random_Forest
3,standard,F1 score,0.7392740792740793,0.6900187020987911,0.3780228758169934,0.7299782135076254,0.6970424088332875,0.7969251336898395,0.7600614439324117,0.7724208318563156,Random_Forest
4,stopwords_nltk,Accuracy,0.7666666666666667,0.7279569892473119,0.7015053763440859,0.766236559139785,0.7606451612903226,0.7858064516129032,0.7735483870967742,0.7537634408602151,Random_Forest
5,stopwords_nltk,Precision,0.7474206349206349,0.7160531135531135,0.758939393939394,0.7595238095238095,0.7278431372549019,0.7848663101604278,0.7601935646053293,0.7547689075630253,Random_Forest
6,stopwords_nltk,Recall,0.7891666666666667,0.7516666666666667,0.6133333333333333,0.7766666666666666,0.8324999999999999,0.7775000000000001,0.7916666666666666,0.7533333333333333,QDA
7,stopwords_nltk,F1 score,0.7628770300104464,0.7304838138444106,0.6711405201727783,0.7628691539147601,0.7747637666992506,0.7770725242499437,0.7739224722146925,0.7528503893214684,Random_Forest
8,stopwords_spacy,Accuracy,0.7731182795698925,0.7406451612903225,0.7275268817204301,0.7666666666666667,0.7406451612903225,0.7735483870967742,0.7668817204301075,0.7537634408602151,Random_Forest
9,stopwords_spacy,Precision,0.7725,0.7309469752813407,0.778409090909091,0.761835811247576,0.7002120686331212,0.7744471472799647,0.7657378740970071,0.7547262541380189,Naive_Bayes
10,stopwords_spacy,Recall,0.7766666666666666,0.7783333333333333,0.6525000000000001,0.7766666666666666,0.8591666666666666,0.7791666666666666,0.7775000000000001,0.7508333333333332,QDA
11,stopwords_spacy,F1 score,0.7681776653313656,0.7523659808751088,0.7024721992463927,0.7658924217544907,0.7641454842266201,0.7735217100289403,0.7639383753501401,0.7473820432441123,Random_Forest
