,Processing_Type,Performance_Metrics,Logistic,SVM,Naive_Bayes,LDA,QDA,Random_Forest,XGboost,Adaboost,Best_model
0,standard,Accuracy,0.7466941203385953,0.7424388011896592,0.6244108899565316,0.7681308625028598,0.7488446579730039,0.7659803248684512,0.7574010523907573,0.7423015328300161,LDA
1,standard,Precision,0.7421177308132556,0.7376789609124282,0.5803320157050889,0.7570997150997151,0.7238353464176103,0.7576697568659572,0.7585048619169457,0.7520697617674101,XGboost
2,standard,Recall,0.7590194264569842,0.7589269195189638,0.9480111008325623,0.7891766882516189,0.8200740055504163,0.7807585568917669,0.7590194264569842,0.7205365402405179,Naive_Bayes
3,standard,F1 score,0.748302303827861,0.7462552159387517,0.7178927877922676,0.7715539447906499,0.7667312210438487,0.7681069627007051,0.7570423685900203,0.7348484323063567,LDA
4,stopwords_nltk,Accuracy,0.7509494394875313,0.7209563029055137,0.7122626401281172,0.7702814001372684,0.7531686113017617,0.7639212994738047,0.7638755433539235,0.7424159231297186,LDA
5,stopwords_nltk,Precision,0.7450224534258147,0.7187190081628303,0.6647695218056356,0.7559081615552203,0.7090060937526375,0.7545798302914275,0.7570703982692881,0.7443563300142247,XGboost
6,stopwords_nltk,Recall,0.7633672525439408,0.7333024976873266,0.879740980573543,0.7936170212765957,0.8716003700277521,0.7810360777058278,0.7765032377428308,0.7461609620721553,Naive_Bayes
7,stopwords_nltk,F1 score,0.7524897740495088,0.7236772845028308,0.7560209805487895,0.7723992338591046,0.7793230571267953,0.766441177656176,0.7655693520798705,0.7423089237180326,QDA
8,stopwords_spacy,Accuracy,0.7574010523907572,0.7188515213909861,0.7015785861358956,0.7681079844429193,0.7423930450697782,0.7617478837794555,0.750972317547472,0.7360329444063144,LDA
9,stopwords_spacy,Precision,0.7536003080477475,0.7153204180222813,0.6576919296807946,0.7575886337440959,0.6913532743820006,0.7636735632723474,0.7427367288378767,0.7388065556846045,Random_Forest
10,stopwords_spacy,Recall,0.7633672525439408,0.7251618871415356,0.8668825161887141,0.7848288621646623,0.8888066604995373,0.750786308973173,0.7635522664199814,0.7335800185013877,QDA
11,stopwords_spacy,F1 score,0.7571409830479597,0.7200248760859966,0.7465360888469921,0.7691915919517165,0.7748293188293189,0.7554040547379774,0.752136194169524,0.7343411003613106,QDA
